sample_station,sample_sampling_date,sample_time_in_deploy,sample_cast_number,sample_time_bottom_deploy,sample_time_out_deploy,Sampling_depth_max,numb_folder_profils,zipped_profils,sample_bottom_datetime,sample_out_datetime,object_latitude,object_longitude,sample_net_mesh,sample_net_aperture,acq_instrument,acq_camera_type,sample_max_sampling_depth_deploy,sample_station_depth_in,profil_folder_name,,,,,,,,,,
630,7/31/2013,08:21:20,1,08:23:05,08:25:25,41,0,No,2013-07-31 08:23:39,2013-07-31 08:26:17,57.470833,-62.441166,200um,0.282744,LOKI,"1,4Mpx",41,51,20130731_St-630_cast#1,,,,,,,,,,
600,8/1/2013,20:30:50,1,20:34:46,20:41:15,197,0,No,2013-08-01 20:35:16,2013-08-01 20:41:52,59.1375,-63.437666,200um,0.282744,LOKI,"1,4Mpx",197,207,20130801_St-600_cast#1,,,,,,,,,,
176,8/9/2013,05:59:51,1,06:05:12,06:13:01,197,1,No,2013-08-09 06:06:25,2013-08-09 06:13:43,69.594,-65.7935,200um,0.282744,LOKI,"1,4Mpx",197,207,20130809_St-176_cast#1,,,,,,,,,,
176,8/9/2013,06:33:50,2,06:38:00,06:44:43,194,0,No,2013-08-09 06:39:12,2013-08-09 06:45:24,69.5905,-65.789833,200um,0.282744,LOKI,"1,4Mpx",194,204,20130809_St-176_cast#2,,,,,,,,,,
172,8/10/2013,03:59:26,1,04:05:48,04:18:00,290,0,No,2013-08-10 04:06:57,2013-08-10 04:18:42,71.194833,-71.068,200um,0.282744,LOKI,"1,4Mpx",290,300,20130810_St-172_cast#1,,,,,,,,,,
170,8/10/2013,13:32:37,1,13:38:59,13:46:30,252,1,No,2013-08-10 13:40:08,2013-08-10 13:47:13,71.38,-70.071666,200um,0.282744,LOKI,"1,4Mpx",252,262,20130810_St-170_cast#1,,,,,,,,,,
323,8/13/2013,21:45:30,1,22:05:25,22:31:33,770,0,No,2013-08-13 22:06:38,2013-08-13 22:32:17,74.159166,-80.471333,200um,0.282744,LOKI,"1,4Mpx",770,790,20130813_St-323_cast#1,,,,,,,,,,
101,8/15/2013,10:34:00,1,10:42:12,10:53:42,339,11,No,2013-08-15 10:43:26,2013-08-15 10:54:28,76.387166,-77.383,200um,0.282744,LOKI,"1,4Mpx",339,349,20130815_St-101_cast#1,,,,,,,,,,
101,8/15/2013,14:20:00,2,14:29:46,14:43:28,346,4,No,2013-08-15 14:31:02,2013-08-15 14:44:17,76.377833,-77.382166,200um,0.282744,LOKI,"1,4Mpx",346,356,20130815_St-101_cast#2,,,,,,,,,,
101,8/15/2013,15:04:56,3,15:13:54,15:27:10,347,12,No,2013-08-15 15:15:08,2013-08-15 15:28:07,76.373666,-77.3885,200um,0.282744,LOKI,4Mpx,347,357,20130815_St-101_cast#3,,,,,,,,,,
101,8/15/2013,19:04:46,4,19:14:33,19:28:40,360,13,No,2013-08-15 19:15:44,2013-08-15 19:29:24,76.353333,-77.536666,200um,0.282744,LOKI,"1,4Mpx",360,370,20130815_St-101_cast#4,,,,,,,,,,
101,8/15/2013,22:36:58,5,22:46:14,22:58:50,346,7,No,2013-08-15 22:47:24,2013-08-15 22:59:37,76.345166,-77.5745,200um,0.282744,LOKI,"1,4Mpx",346,356,20130815_St-101_cast#5,,,,,,,,,,
101,8/15/2013,23:23:40,6,23:33:20,23:48:07,342,2,No,2013-08-15 23:34:33,2013-08-15 23:48:56,76.3405,-77.576166,200um,0.282744,LOKI,4Mpx,342,352,20130815_St-101_cast#6,,,,,,,,,,
101,8/16/2013,02:37:08,7,02:44:18,02:55:55,237,0,No,2013-08-16 02:45:34,2013-08-16 02:56:42,76.329666,-77.703333,200um,0.282744,LOKI,4Mpx,237,247,20130816_St-101_cast#7,,,,,,,,,,
101,8/16/2013,03:14:16,8,03:20:50,03:30:54,239,5,No,2013-08-16 03:22:00,2013-08-16 03:31:45,76.3295,-77.700833,200um,0.282744,LOKI,"1,4Mpx",239,249,20130816_St-101_cast#8,,,,,,,,,,
101,8/16/2013,06:35:26,9,06:42:35,06:53:44,270,6,No,2013-08-16 06:43:47,2013-08-16 06:54:30,76.291333,-77.760333,200um,0.282744,LOKI,"1,4Mpx",270,280,20130816_St-101_cast#9,,,,,,,,,,
105,8/16/2013,18:34:04,1,18:43:03,18:54:48,316,4,No,2013-08-16 18:44:16,2013-08-16 18:56:09,76.318666,-75.758333,200um,0.282744,LOKI,"1,4Mpx",316,326,20130816_St-105_cast#1,,,,,,,,,,
108,8/17/2013,06:19:46,1,06:31:05,06:48:02,430,2,No,2013-08-17 06:32:24,2013-08-17 06:48:53,76.270166,-74.585166,200um,0.282744,LOKI,"1,4Mpx",430,445,20130817_St-108_cast#1,,,,,,,,,,
108,8/17/2013,06:19:46,1,06:31:05,06:48:02,430,2,No,2013-08-17 06:32:24,2013-08-17 06:48:53,76.270166,-74.585166,200um,0.282744,LOKI,"1,4Mpx",430,445,20130817_St-108_cast#1,,,,,,,,,,
111,8/17/2013,19:23:12,1,19:39:30,19:57:50,585,1,No,2013-08-17 19:40:45,2013-08-17 19:58:35,76.307166,-73.209,200um,0.282744,LOKI,"1,4Mpx",585,595,20130817_St-111_cast#1,,,,,,,,,,
115,8/18/2013,10:53:50,1,11:10:38,11:28:21,644,8,No,2013-08-18 11:11:50,2013-08-18 11:29:07,76.341283,-71.195933,200um,0.282744,LOKI,"1,4Mpx",644,654,20130818_St-115_cast#1,,,,,,,,,,
115,8/18/2013,14:21:45,2,14:37:13,15:01:41,620,2,No,2013-08-18 14:38:25,2013-08-18 15:02:28,76.36,-71.209,200um,0.282744,LOKI,"1,4Mpx",620,631,20130818_St-115_cast#2,,,,,,,,,,
253b,8/25/2013,20:19:48,3,20:24:15,20:31:23,170,1,No,2013-08-25 18:25:06,2013-08-25 18:31:52,79.300333,-71.443666,200um,0.282744,LOKI,"1,4Mpx",170,184,20130825_St-253b_cast#3,,,,,,,,,,
126,8/27/2013,07:22:42,1,07:32:05,07:41:35,313,0,No,2013-08-27 05:33:03,2013-08-27 05:42:27,77.3445,-73.426833,200um,0.282744,LOKI,"1,4Mpx",313,323,20130827_St-126_cast#1,,,,,,,,,,
126,8/27/2013,10:27:11,2,10:33:56,10:43:10,313,3,No,2013-08-27 08:34:55,2013-08-27 08:43:53,77.339166,-73.488166,200um,0.282744,LOKI,"1,4Mpx",313,323,20130827_St-126_cast#2,,,,,,,,,,
122,8/28/2013,02:28:36,1,02:47:18,03:05:50,632,3,No,2013-08-28 00:48:09,2013-08-28 01:06:20,77.34485,-75.016266,200um,0.282744,LOKI,"1,4Mpx",632,645,20130828_St-122_cast#1,,,,,,,,,,
119,8/28/2013,10:16:07,1,10:30:25,10:45:25,512,2,No,2013-08-28 08:31:21,2013-08-28 08:45:57,77.327,-76.062666,200um,0.282744,LOKI,"1,4Mpx",512,522,20130828_St-119_cast#1,,,,,,,,,,
117,8/28/2013,19:40:50,1,19:52:00,20:05:10,434,1,No,2013-08-28 17:52:50,2013-08-28 18:05:41,77.324166,-77.007833,200um,0.282744,LOKI,"1,4Mpx",434,444,20130828_St-117_cast#1,,,,,,,,,,
117,8/28/2013,19:40:50,1,19:52:00,20:05:10,434,1,No,2013-08-28 17:52:50,2013-08-28 18:05:41,77.324166,-77.007833,200um,0.282744,LOKI,"1,4Mpx",434,444,20130828_St-117_cast#1,,,,,,,,,,
117,8/29/2013,02:40:42,2,02:54:05,03:08:07,440,0,No,2013-08-29 00:55:00,2013-08-29 01:08:37,77.322683,-77.004066,200um,0.282744,LOKI,"1,4Mpx",440,450,20130829_St-117_cast#2,,,,,,,,,,
301,8/30/2013,08:44:05,1,09:00:50,09:18:38,655,0,No,2013-08-30 07:01:48,2013-08-30 07:19:14,74.103666,-83.370666,200um,0.282744,LOKI,"1,4Mpx",655,665,20130830_St-301_cast#1,,,,,,,,,,
304,8/31/2013,08:09:37,1,08:18:14,08:28:18,310,0,No,2013-08-31 06:19:14,2013-08-31 06:28:49,74.249666,-91.437166,200um,0.282744,LOKI,"1,4Mpx",310,320,20130831_St-304_cast#1,,,,,,,,,,
Ice_peelsound,9/2/2013,18:30:14,1,18:34:30,18:40:50,176,0,No,2013-09-02 16:35:31,2013-09-02 16:41:22,74.187166,-95.938166,200um,0.282744,LOKI,"1,4Mpx",176,186,20130902_St-Ice_peelsound_cast#1,,,,,,,,,,
Ice_peelsound,9/3/2013,00:01:08,2,00:06:02,00:11:48,174,0,No,2013-09-02 22:07:01,2013-09-02 22:12:19,74.172116,-95.805116,200um,0.282744,LOKI,"1,4Mpx",174,184,20130903_St-Ice_peelsound_cast#2,,,,,,,,,,
Ice_peelsound,9/3/2013,04:26:11,3,04:31:19,04:37:19,184,3,No,2013-09-03 02:32:22,2013-09-03 02:38:00,74.180166,-95.806166,200um,0.282744,LOKI,"1,4Mpx",184,194,20130903_St-Ice_peelsound_cast#3,,,,,,,,,,
Ice_peelsound,9/3/2013,08:33:55,4,08:38:19,08:43:41,174,1,No,2013-09-03 06:39:16,2013-09-03 06:44:44,74.1625,-95.828166,200um,0.282744,LOKI,"1,4Mpx",174,184,20130903_St-Ice_peelsound_cast#4,,,,,,,,,,
Ice_peelsound,9/3/2013,12:36:09,5,12:40:41,12:45:48,166,2,No,2013-09-03 10:41:42,2013-09-03 10:46:49,74.1238,-95.846366,200um,0.282744,LOKI,"1,4Mpx",166,176,20130903_St-Ice_peelsound_cast#5,,,,,,,,,,
