sampling_year,deployment_id,sampling_platform,station_name,deployment_datetime_start,deployment_datetime_end,gear,tow_type,cast_number,bottom_depth,latitude,longitude,deployment_comments,net_mesh_size,net_mouth_aperture,max_sample_depth,min_sample_depth,depth_calc_net_filtered_vol,flowmeter_calc_vol,NET_COMMENTS,number_of_nets,sample_nets,sample_id,net_sampling_ids,subsampling_quantity,subsampling_unit,sample_comments,analysis_id,analysis_type,analysis_contract,analysis_datetime,analysis_protocol_id,analysis_comments
2010,692,CCGS Amundsen,350,2010-07-09 17:11:50,2010-07-09 17:34:39,4x1m2,V-Tow,1,380,64.4377,-80.4603,"Couvert nuageux, Bloom d'algues",500,1,370,0,370,325.5,"Couvert nuageux, Bloom d'algues",1,1,21915,1835,NA,ratio of original catch,"Couvert nuageux, Bloom d'algues",NA,NA,NA,NA,NA,NA
2010,692,CCGS Amundsen,350,2010-07-09 17:11:50,2010-07-09 17:34:39,4x1m2,V-Tow,1,380,64.4377,-80.4603,"Couvert nuageux, Bloom d'algues",200,1,370,0,370,404.55,"Couvert nuageux, Bloom d'algues",1,2,21916,1836,0.5,ratio of original catch,"Couvert nuageux, Bloom d'algues",82,zooplankton taxonomic analysis,Legacy Labo Fortier,2011-02-24 00:00:00,"std taxo analysis protocol - 2 fractions: large(>1mm), small",Legacy zooplankton taxonomic analysis entered on an ACCESS database
2010,692,CCGS Amundsen,350,2010-07-09 17:11:50,2010-07-09 17:34:39,4x1m2,V-Tow,1,380,64.4377,-80.4603,"Couvert nuageux, Bloom d'algues",50,0.0079,370,0,2.923,NA,"Couvert nuageux, Bloom d'algues",1,6,21921,1840,NA,ratio of original catch,"Couvert nuageux, Bloom d'algues",NA,NA,NA,NA,NA,NA
2010,693,CCGS Amundsen,350,2010-07-09 17:53:35,2010-07-09 18:08:25,2x1m2,O-Tow,1,NA,64.444,-80.4607,,500,1,90,0,NA,NA,Couvert nuageux. Bloom d'algues,1,2,21923,1842,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,693,CCGS Amundsen,350,2010-07-09 17:53:35,2010-07-09 18:08:25,2x1m2,O-Tow,1,NA,64.444,-80.4607,,50,0.0079,90,0,NA,NA,Couvert nuageux. Bloom d'algues,1,3,21924,1843,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,694,CCGS Amundsen,699,2010-07-11 04:36:30,2010-07-11 04:42:00,4x1m2,V-Tow,1,83,59.994,-78.438,,500,1,73,0,73,69.75,,1,1,21925,1844,NA,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,694,CCGS Amundsen,699,2010-07-11 04:36:30,2010-07-11 04:42:00,4x1m2,V-Tow,1,83,59.994,-78.438,,200,1,73,0,73,2.325,split 1/2,1,2,21927,1845,0.5,ratio of original catch,split 1/2,83,zooplankton taxonomic analysis,Legacy Labo Fortier,2011-02-25 00:00:00,"std taxo analysis protocol - 2 fractions: large(>1mm), small",Legacy zooplankton taxonomic analysis entered on an ACCESS database
2010,694,CCGS Amundsen,699,2010-07-11 04:36:30,2010-07-11 04:42:00,4x1m2,V-Tow,1,83,59.994,-78.438,,50,0.0079,73,0,0.5767,NA,,1,6,21931,1849,NA,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,695,CCGS Amundsen,699,2010-07-11 05:01:43,2010-07-11 05:07:45,2x1m2,O-Tow,1,NA,60.0003,-78.4475,,500,1,30,0,NA,NA,,1,2,21937,1851,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,695,CCGS Amundsen,699,2010-07-11 05:01:43,2010-07-11 05:07:45,2x1m2,O-Tow,1,NA,60.0003,-78.4475,,50,0.0079,30,0,NA,NA,,1,3,21938,1852,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,696,CCGS Amundsen,702,2010-07-13 15:01:30,2010-07-13 15:10:38,4x1m2,V-Tow,1,133,55.4203,-77.9125,Couvert nuageux,500,1,123,0,123,124,"Couvert nuageux, ",1,1,21940,1853,NA,ratio of original catch,"Couvert nuageux,",NA,NA,NA,NA,NA,NA
2010,696,CCGS Amundsen,702,2010-07-13 15:01:30,2010-07-13 15:10:38,4x1m2,V-Tow,1,133,55.4203,-77.9125,Couvert nuageux,200,1,123,0,123,83.7,"Couvert nuageux, ",1,2,21942,1854,0.5,ratio of original catch,"Couvert nuageux,",84,zooplankton taxonomic analysis,Legacy Labo Fortier,2011-02-28 00:00:00,"std taxo analysis protocol - 2 fractions: large(>1mm), small",Legacy zooplankton taxonomic analysis entered on an ACCESS database
2010,696,CCGS Amundsen,702,2010-07-13 15:01:30,2010-07-13 15:10:38,4x1m2,V-Tow,1,133,55.4203,-77.9125,Couvert nuageux,50,0.0079,123,0,0.9717,NA,"Couvert nuageux, ",1,6,21946,1858,NA,ratio of original catch,"Couvert nuageux,",NA,NA,NA,NA,NA,NA
2010,697,CCGS Amundsen,702,2010-07-13 15:33:28,2010-07-13 15:49:00,2x1m2,O-Tow,1,NA,55.4285,-77.9185,,500,1,90,0,NA,734.7,"Couvert nuageux. La vitesse du bateau a oscillé entre 2 et 2,2 nœuds",1,2,21950,1860,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,697,CCGS Amundsen,702,2010-07-13 15:33:28,2010-07-13 15:49:00,2x1m2,O-Tow,1,NA,55.4285,-77.9185,,50,0.0079,90,0,NA,NA,"Couvert nuageux. La vitesse du bateau a oscillé entre 2 et 2,2 nœuds",1,3,21951,1861,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,2680,CCGS Amundsen,GW1a,2010-07-13 17:30:00,2010-07-13 17:32:00,Ringnet 50cm,O-Tow,1,5,55.2682,-77.7705,"Couvert nuageux. rvtow de 50 cm dans la rivière, marée haute = 12:49(UTC), marée basse = 19:33(UTC)",64,0.1964,NA,0,NA,NA,NA,1,0,43366,13967,1,ratio of original catch,NA,NA,NA,NA,NA,NA,NA
2010,2681,CCGS Amundsen,GW1b,2010-07-13 17:37:00,2010-07-13 17:40:00,Ringnet 50cm,O-Tow,1,5,55.2659,-77.7705,"Couvert nuageux. rvtow de 50 cm à la sortie de la rivière, marée haute = 12:49(UTC), marée basse = 19:33(UTC)",64,0.1964,NA,0,NA,NA,NA,1,0,43367,13968,1,ratio of original catch,NA,NA,NA,NA,NA,NA,NA
2010,698,CCGS Amundsen,709,2010-07-15 05:31:54,2010-07-15 05:39:42,4x1m2,V-Tow,1,89,54.7195,-80.7657,"Dégagé, légèrement venteux",500,1,79,0,79,131.75,"Dégagé, légèrement venteux",1,1,21953,1862,NA,ratio of original catch,"Dégagé, légèrement venteux",NA,NA,NA,NA,NA,NA
2010,698,CCGS Amundsen,709,2010-07-15 05:31:54,2010-07-15 05:39:42,4x1m2,V-Tow,1,89,54.7195,-80.7657,"Dégagé, légèrement venteux",200,1,79,0,79,2.325,"Dégagé, légèrement venteux",1,2,21954,1863,0.5,ratio of original catch,"Dégagé, légèrement venteux",85,zooplankton taxonomic analysis,Legacy Labo Fortier,2011-03-02 00:00:00,"std taxo analysis protocol - 2 fractions: large(>1mm), small",Legacy zooplankton taxonomic analysis entered on an ACCESS database
2010,698,CCGS Amundsen,709,2010-07-15 05:31:54,2010-07-15 05:39:42,4x1m2,V-Tow,1,89,54.7195,-80.7657,"Dégagé, légèrement venteux",50,0.0079,79,0,0.6241,NA,"Dégagé, légèrement venteux",1,6,21959,1867,NA,ratio of original catch,"Dégagé, légèrement venteux",NA,NA,NA,NA,NA,NA
2010,699,CCGS Amundsen,709,2010-07-15 05:57:46,2010-07-15 06:08:05,2x1m2,O-Tow,1,NA,54.7265,-80.7453,,500,1,60,0,NA,700.6,,1,2,2258,1869,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
2010,699,CCGS Amundsen,709,2010-07-15 05:57:46,2010-07-15 06:08:05,2x1m2,O-Tow,1,NA,54.7265,-80.7453,,50,0.0079,60,0,NA,NA,,1,3,2259,1870,1,ratio of original catch,,NA,NA,NA,NA,NA,NA
