Title,Copepod Abundance and Biomass by Taxon and copepodid/nauplius stage (2010–2025),,,,,
Description,"Copepod Abundance and Biomass per-analysis, per-taxon dataset for net samplings collected between 2010 and 2025 (excluding analyses under contracts 'KEBABB' and 'DFO-D. Côté'). It combines sampling/deployment context (sample ID, station, deployment date/time, cast, gear/tow type, net mesh, net identifier(s), and min/max sampling depths) with copepod/nauplius stage metrics. For each taxon, it reports depth- and flowmeter-based filtered volumes and taxonomic classification (kingdom to family when available), then provides abundance (counts and ind./m3) and biomass (µg C/m3) broken out by copepodid stages C1–C5, adult male (M) and female (F), unspecified copepod stage (COP_NS), aggregated copepodids, nauplius stages N1–N6, unspecified nauplius stage (NAUP_NS), aggregated nauplii, and all-stages totals. Results are ordered by deployment date/time, net identifier(s), and taxon.",,,,,
,,,,,,
,,,,,,
column_ordinal,column_name,is_computed,type,domain_group,units_or_scale,description
1,SAMPLE_ID,0,int,Sample metadata,NA,Unique identifier of the sample associated with the analysis context.
2,ANALYSIS_ID,0,int,Analysis metadata,NA,Unique identifier of the analysis record.
3,ANALYSIS_CONTRACT,0,varchar,Analysis metadata,NA,Contract under which the analysis was performed (filtered to exclude KEBABB and DFO-D. Côté).
4,STATION_NAME,0,varchar,Sampling context,NA,Station identifier/name.
5,DEPLOYMENT_DATE_START,0,date,Deployment identification & timing,NA,Deployment start date (filtered to years 2010–2025 inclusive).
6,DEPLOYMENT_TIME_START,0,time,Deployment identification & timing,NA,Deployment start time.
7,CAST_NUMBER,0,varchar,Deployment identification & timing,NA,Cast number/order for the gear at the station.
8,GEAR,0,varchar,Deployment identification & method,NA,Gear identifier/name used for sampling.
9,TOW_TYPE,0,varchar,Deployment identification & method,NA,Tow/deployment method category.
10,NET_MESH_SIZE,0,int,Net sampling configuration,um,Net mesh size in micrometer (um).
11,SAMPLING_NET_ID,1,longtext,Net sampling inventory,NA,Describes net(s) used/associated with the sample (sometimes an aggregated list rather than a single net_sampling_id).
12,MIN_SAMPLE_DEPTH,0,decimal,Net sampling configuration,m (depth),Minimum (shallowest) depth sampled.
13,MAX_SAMPLE_DEPTH,0,decimal,Net sampling configuration,m (depth),Maximum (deepest) depth sampled.
14,DEPTH_CALC_NET_FILTERED_VOL,0,decimal,Volume metrics,m3,Depth-based estimate of net filtered/visited volume used for abundance/biomass normalization.
15,FLOWMETER_CALC_VOL,0,decimal,Volume metrics,m3,Flowmeter-based estimate of net filtered volume used for abundance/biomass normalization.
16,TAXON_ID,0,varchar,Taxonomy,NA,Taxon identifier for which copepod/nauplius stage metrics are reported.
17,KINGDOM,0,varchar,Taxonomy,NA,Taxonomic kingdom.
18,PHYLUM,0,varchar,Taxonomy,NA,Taxonomic phylum.
19,CLASS,0,varchar,Taxonomy,NA,Taxonomic class.
20,ORDER,0,varchar,Taxonomy,NA,Taxonomic order.
21,FAMILY,0,varchar,Taxonomy,NA,Taxonomic family.
22,C1_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,C1 (copepodid stage 1) abundance as number of individuals attributed to the sample (not volume-normalized).
23,C1_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,C1 abundance normalized by depth-calculated filtered volume.
24,C1_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,C1 abundance normalized by flowmeter-calculated filtered volume.
25,C1_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,C1 biomass (carbon) normalized by depth-calculated filtered volume.
26,C1_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,C1 biomass (carbon) normalized by flowmeter-calculated filtered volume.
27,C2_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,C2 (copepodid stage 2) abundance as number of individuals attributed to the sample.
28,C2_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,C2 abundance normalized by depth-calculated filtered volume.
29,C2_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,C2 abundance normalized by flowmeter-calculated filtered volume.
30,C2_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,C2 biomass (carbon) normalized by depth-calculated filtered volume.
31,C2_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,C2 biomass (carbon) normalized by flowmeter-calculated filtered volume.
32,C3_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,C3 (copepodid stage 3) abundance as number of individuals attributed to the sample.
33,C3_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,C3 abundance normalized by depth-calculated filtered volume.
34,C3_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,C3 abundance normalized by flowmeter-calculated filtered volume.
