category	field	source_name	storage_slot	display_name	definition
object	obj.orig_id	orig_id		Identifiant original de l'objet	Identifiant original de l'objet
object	obj.latitude	latitude		Latitude de l'objet	Latitude de l'objet
object	obj.longitude	longitude		Longitude de l'objet	Longitude de l'objet
object	obj.objdate	objdate		Date de l'objet	Date de l'objet
object	obj.objtime	objtime		Heure de l'objet	Heure de l'objet
object	obj.depth_min	depth_min		Profondeur minimale	Profondeur minimale
object	obj.depth_max	depth_max		Profondeur maximale	Profondeur maximale
object	obj.classif_qual	classif_qual		Statut de classification	Statut de classification
object	obj.classif_id	classif_id		Identifiant taxonomique retenu	Identifiant taxonomique retenu
object	obj.classif_who	classif_who		Validateur ou classificateur	Validateur ou classificateur
object	obj.classif_when	classif_when		Date de classification	Date de classification
object	obj.classif_auto_id	classif_auto_id		Identifiant taxonomique automatique	Identifiant taxonomique automatique
object	obj.classif_auto_score	classif_auto_score		Score de classification automatique	Score de classification automatique
object	obj.classif_auto_when	classif_auto_when		Date de classification automatique	Date de classification automatique
object	obj.complement_info	complement_info		Information complementaire objet	Information complementaire objet
object	obj.object_link	object_link		Lien objet	Lien objet
object	obj.random_value	random_value		Valeur aleatoire interne	Valeur aleatoire interne
object	obj.sunpos	sunpos		Position solaire calculee	Position solaire calculee
taxonomy	txo.display_name	display_name		Nom taxonomique affiche	Nom taxonomique affiche
taxonomy	txo.name	name		Nom taxonomique brut	Nom taxonomique brut
taxonomy	txo.id	id		Identifiant taxonomique EcoTaxa	Identifiant taxonomique EcoTaxa
taxonomy	txo.parent_id	parent_id		Identifiant du parent taxonomique	Identifiant du parent taxonomique
taxonomy	txo.aphia_id	aphia_id		Identifiant Aphia/WoRMS si disponible	Identifiant Aphia/WoRMS si disponible
classification_display	fre.equivalent_diameter_area	equivalent_diameter_area		ESD	Champ libre objet affiche dans la liste de classification sous le libelle ESD.
classification_display	fre.axis_major_length	axis_major_length		Major	Champ libre objet affiche dans la liste de classification sous le libelle Major.
classification_display	fre.axis_minor_length	axis_minor_length		Minor	Champ libre objet affiche dans la liste de classification sous le libelle Minor.
classification_display	fre.Depth min	Depth min		Depth	Champ libre objet affiche dans la liste de classification sous le libelle Depth.
object_free	fre.frame_ms	frame_ms	n01	frame ms	Champ libre object_free fourni par EcoTaxa, stocke dans n01.
object_free	fre.frame_vignette_number	frame_vignette_number	n02	frame vignette number	Champ libre object_free fourni par EcoTaxa, stocke dans n02.
object_free	fre.vignette_x_pos	vignette_x_pos	n03	vignette x pos	Champ libre object_free fourni par EcoTaxa, stocke dans n03.
object_free	fre.vignette_y_pos	vignette_y_pos	n04	vignette y pos	Champ libre object_free fourni par EcoTaxa, stocke dans n04.
object_free	fre.orig_img_bmp_file_size	orig_img_bmp_file_size	n05	orig img bmp file size	Champ libre object_free fourni par EcoTaxa, stocke dans n05.
object_free	fre.image_height	image_height	n06	image height	Champ libre object_free fourni par EcoTaxa, stocke dans n06.
object_free	fre.image_width	image_width	n07	image width	Champ libre object_free fourni par EcoTaxa, stocke dans n07.
