platform_name	platform_id	filename	cruise_name	cruise_number	cast_number	station	time (UTC)	latitude (degrees_north)	longitude (degrees_east)	PRES (decibars)	depth (m)	TE90 (degC)	PSAL (PSU)	OXYM (uM)	FLOR (ug/L)	NTRA (mmol/m^3)
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	2.0	1.98100591737836	-1.28	32.499	309.931	0.093	6.514
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	3.0	2.971501660962366	-1.43	32.481	311.592	0.143	6.497
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	4.0	3.9619925946741903	-1.419	32.464	311.168	0.139	6.614
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	5.0	4.952478718662284	-1.332	32.473	310.919	0.153	6.038
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	6.0	5.942960033075084	-1.443	32.453	312.186	0.142	6.286
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	7.0	6.933436538061032	-1.444	32.458	311.127	0.155	5.741
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	8.0	7.923908233768565	-1.442	32.455	311.821	0.163	7.27
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	9.0	8.91437512034611	-1.415	32.456	312.455	0.21	7.268
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	10.0	9.904837197942092	-1.482	32.441	313.718	0.155	5.484
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	11.0	10.895294466704934	-1.526	32.442	314.293	0.169	6.989
