object_id	object_lat	object_lon	object_date	object_time	object_link	object_depth_min	object_depth_max	object_annotation_status	object_annotation_person_name	object_annotation_person_email	object_annotation_date	object_annotation_time	object_annotation_category	object_annotation_hierarchy	complement_info	object_valid_set	object_class	sample_id	sample_dataportal_descriptor	sample_profileid	sample_cruise	sample_ship	sample_stationid	process_id	acq_id	acq_instrument	objid	processid_internal	acq_id_internal	sample_id_internal	classif_id	classif_who	classif_auto_id	classif_auto_name	classif_auto_score	classif_auto_when	object_random_value	object_sunpos	sample_lat	sample_long
20130815 104200 655 000000 0053 0384			2013-08-15	10:42:00	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-18	21:15:05	female+lateral<Calanus hyperboreus	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus hyperboreus>female+lateral		False	ChypFlat	20130815 104200 655		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1759973__	__DUMMY_ID__490941__		502947660	1759973	1759973	490941	94415	489		Calanus hyperboreus			-761351005	?		
20130815 104202 761 000000 0103 0536			2013-08-15	10:42:02	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-18	20:38:26	female+lateral<Calanus hyperboreus	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus hyperboreus>female+lateral		False	ChypFlat	20130815 104202 761		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1759771__	__DUMMY_ID__490739__		502947458	1759771	1759771	490739	94415	489		Calanus hyperboreus			781157492	?		
20130815 104207 359 000000 0147 0692			2013-08-15	10:42:07	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-19	19:00:27	female+lateral<Calanus hyperboreus	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus hyperboreus>female+lateral		False	ChypFlat	20130815 104207 359		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1760149__	__DUMMY_ID__491117__		502947836	1760149	1760149	491117	94415	489		Calanus hyperboreus			1812703820	?		
20130815 104208 999 000001 0219 0872			2013-08-15	10:42:08	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-26	18:08:12	female+lateral<Calanus hyperboreus	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus hyperboreus>female+lateral		False	ChypFlat	20130815 104208 999		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1760736__	__DUMMY_ID__491704__		502948430	1760736	1760736	491704	94415	489		Calanus hyperboreus			259140439	?		
20130815 104217 755 000000 0919 0864			2013-08-15	10:42:17	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-19	16:58:49	cvstage+lateral<Calanus glacialis	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus glacialis>cvstage+lateral		False	CglacVlat	20130815 104217 755		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1759988__	__DUMMY_ID__490956__		502947675	1759988	1759988	490956	94823	489		Calanus glacialis			-1986330951	?		
20130815 104217 955 000000 0219 0432			2013-08-15	10:42:17	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-18	21:15:05	cvstage+lateral<Calanus glacialis	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus glacialis>cvstage+lateral		False	CglacVlat	20130815 104217 955		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1759922__	__DUMMY_ID__490890__		502947609	1759922	1759922	490890	94823	489		Calanus glacialis			2055817658	?		
20130815 104221 920 000000 1023 0172			2013-08-15	10:42:21	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-19	19:01:29	cvstage+ventral<Calanus glacialis	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus glacialis>cvstage+ventral		False	CglacVdorsex	20130815 104221 920		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1760176__	__DUMMY_ID__491144__		502947864	1760176	1760176	491144	94824	489		Calanus glacialis			1763267443	?		
20130815 104222 120 000000 0307 0732			2013-08-15	10:42:22	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-10-17	12:58:46	cvstage+lateral<Calanus hyperboreus	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus hyperboreus>cvstage+lateral		False	ChypVlat	20130815 104222 120		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1761023__	__DUMMY_ID__491991__		502948723	1761023	1761023	491991	94414	489		Calanus hyperboreus			-1383176506	?		
20130815 104222 187 000000 0979 0860			2013-08-15	10:42:22	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-21	13:32:11	cvstage+lateral<Calanus hyperboreus	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus hyperboreus>cvstage+lateral		False	ChypVlat	20130815 104222 187		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1760557__	__DUMMY_ID__491525__		502948248	1760557	1760557	491525	94414	489		Calanus hyperboreus			-1289012517	?		
20130815 104222 999 000000 0703 0192			2013-08-15	10:42:22	https://ecotaxa.obs-vlfr.fr/			validated	Frédéric Maps	frederic.maps@bio.ulaval.ca	2023-09-19	19:40:04	cvstage+lateral<Calanus hyperboreus	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Gymnoplea>Calanoida>Calanidae>Calanus>Calanus hyperboreus>cvstage+lateral		False	ChypVlat	20130815 104222 999		1.0	ArcticNet2013	Amundsen	101	__DUMMY_ID__1760263__	__DUMMY_ID__491231__		502947953	1760263	1760263	491231	94414	489		Calanus hyperboreus			266118635	?		
