object_id	obj_orig_id	profile_id	sample_id	taxon	object_depth	obj_objdate	obj_objtime	obj_latitude	obj_longitude	fre_area	fre_esd	fre_feret	fre_major	fre_minor	match_method	ecopart_depth	depth_delta_m	ecopart_profile_depth_min	ecopart_profile_depth_max	depth_match_quality	ecopart_datetime	ecopart_temperature_degC	ecopart_salinity_psu	ecopart_oxygen_umol_kg	ecopart_oxygen_ml_l	ecopart_fluorescence_mg_chl_m3	ecopart_nitrate_umol_l	ecopart_pressure_db	ecopart_sampled_volume_l	ecopart_particle_count_l_selected_sum	ecopart_particle_biovolume_selected_sum
91894896	ips_007_899	ips_007	77324	detritus<not-living	231.8	2018-07-16	13:54:01	68.3096666666667	-60.3925	37.0	6.8636625175777	9.4	8.5	5.6	profile_id+nearest_depth	232.5	0.6999999999999886	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	0.084544				0.04565568		232.40000000000003	117.81	30.752907223495455	0.23502147215133423
91894897	ips_007_970	ips_007	77324	detritus<not-living	253.3	2018-07-16	13:54:01	68.3096666666667	-60.3925	97.0	11.1132459632328	16.6	16.1	7.7	profile_id+nearest_depth	247.5	5.800000000000011	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894898	ips_007_1069	ips_007	77324	detritus<not-living	301.4	2018-07-16	13:54:01	68.3096666666667	-60.3925	47.0	7.73577782789505	11.3	9.8	6.1	profile_id+nearest_depth	247.5	53.89999999999998	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894899	ips_007_1130	ips_007	77324	detritus<not-living	328.4	2018-07-16	13:54:01	68.3096666666667	-60.3925	34.0	6.57952464247954	8.9	8.4	5.1	profile_id+nearest_depth	247.5	80.89999999999998	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894900	ips_007_1148	ips_007	77324	badfocus<artefact	337.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	184.0	15.3060797146516	19.0	16.4	14.3	profile_id+nearest_depth	247.5	89.60000000000002	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894907	ips_007_235	ips_007	77324	Copepoda<Multicrustacea	27.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	241.0	17.5171553136111	39.6	32.8	9.3	profile_id+nearest_depth	27.5	0.3999999999999986	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-1.3033439999999998				0.9894951999999998		27.4	115.83	12.095312095312094	0.3061612389974525
91894908	ips_007_1068	ips_007	77324	detritus<not-living	298.6	2018-07-16	13:54:01	68.3096666666667	-60.3925	189.0	15.5126488374792	54.4	29.1	8.3	profile_id+nearest_depth	247.5	51.10000000000002	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894909	ips_007_1085	ips_007	77324	Copepoda<Multicrustacea	307.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	56.0	8.4440164912895	15.5	10.9	6.6	profile_id+nearest_depth	247.5	59.60000000000002	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894910	ips_007_1399	ips_007	77324	Copepoda<Multicrustacea	438.0	2018-07-16	13:54:01	68.3096666666667	-60.3925	50.0	7.97884560802865	15.6	11.4	5.6	profile_id+nearest_depth	247.5	190.5	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894911	ips_007_1832	ips_007	77324	Copepoda<Multicrustacea	732.3	2018-07-16	13:54:01	68.3096666666667	-60.3925	48.0	7.81764019044672	12.7	9.6	6.4	profile_id+nearest_depth	247.5	484.79999999999995	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
